# Time	forces(pressure, viscous) moment(pressure, viscous)
0.0005	(((271.48081 942.63591 4.4698117e-16) (12.320444 -0.95580582 -2.0035789e-17)) ((-47.131796 13.57404 369.74663) (0.047790291 0.6160222 0.085189923)))
0.001	(((97.80556 619.48233 7.6846939e-17) (11.972354 -0.83753257 -2.6230586e-18)) ((-30.974117 4.890278 189.29964) (0.041876629 0.59861768 0.092331949)))
0.0015	(((95.10015 646.62592 7.1222047e-17) (11.556402 -0.76214303 -2.710369e-18)) ((-32.331296 4.7550075 202.79149) (0.038107151 0.5778201 0.097474911)))
0.002	(((95.663624 681.54534 6.1387272e-17) (11.005095 -0.68074551 -2.5172788e-18)) ((-34.077267 4.7831812 224.51106) (0.034037275 0.55025475 0.10122569)))
0.0025	(((84.808735 636.61563 4.7394188e-17) (10.526618 -0.60697091 -2.5494868e-18)) ((-31.830782 4.2404368 185.60752) (0.030348546 0.52633091 0.11215049)))
0.003	(((84.152669 651.29887 4.0405574e-17) (10.099891 -0.54488355 -2.488653e-18)) ((-32.564943 4.2076335 189.35123) (0.027244178 0.50499455 0.12186131)))
0.0035	(((83.117453 664.54609 3.382735e-17) (9.6905972 -0.4863555 -2.5397191e-18)) ((-33.227304 4.1558726 191.6392) (0.024317775 0.48452986 0.13122702)))
0.004	(((84.651572 673.57699 3.0543909e-17) (9.3301927 -0.43397944 -2.5821939e-18)) ((-33.678849 4.2325786 191.23342) (0.021698972 0.46650963 0.14121716)))
0.0045	(((83.676897 690.24 2.554267e-17) (8.996466 -0.3855236 -2.7020159e-18)) ((-34.512 4.1838449 196.00081) (0.01927618 0.4498233 0.15108379)))
0.005	(((86.313394 705.65928 2.3778523e-17) (8.6997715 -0.34259074 -2.7672468e-18)) ((-35.282964 4.3156697 201.09055) (0.017129537 0.43498858 0.16028067)))
0.0055	(((85.60574 720.61467 1.9602899e-17) (8.4182454 -0.30180797 -2.8882105e-18)) ((-36.030734 4.280287 205.68828) (0.015090398 0.42091227 0.16946256)))
0.006	(((87.974737 732.89242 1.838638e-17) (8.1674712 -0.265439 -2.9790415e-18)) ((-36.644621 4.3987368 209.54784) (0.01327195 0.40837356 0.17825592)))
0.0065	(((87.373747 745.54701 1.5035199e-17) (7.9279305 -0.23069986 -3.103904e-18)) ((-37.27735 4.3686873 213.66459) (0.011534993 0.39639653 0.1870031)))
0.007	(((89.581967 755.93031 1.4388702e-17) (7.7136372 -0.19953855 -3.21957e-18)) ((-37.796515 4.4790983 217.23825) (0.0099769273 0.38568186 0.19535616)))
