# Time	forces(pressure, viscous) moment(pressure, viscous)
0.0165	(((303.3667 4.3363306 -3.9255965e-16) (4.4247952 0.011839034 1.4100093e-16)) ((-0.21681653 15.168335 3.6033829e-10) (-0.0005919517 0.22123976 0.001584033)))
0.017	(((302.60693 8.6947054 -3.9009687e-16) (4.4124675 0.049833248 1.4066881e-16)) ((-0.43473527 15.130347 3.5098249e-10) (-0.0024916624 0.22062337 0.0025519692)))
0.0175	(((302.05281 13.413469 -3.8753763e-16) (4.4029443 0.093094499 1.4015555e-16)) ((-0.67067345 15.102641 3.450082e-10) (-0.0046547249 0.22014722 0.0039085731)))
0.018	(((301.64204 18.156947 -3.8470984e-16) (4.3943864 0.1397416 1.3969844e-16)) ((-0.90784735 15.082102 3.3487806e-10) (-0.0069870798 0.21971932 0.00542033)))
0.0185	(((301.38686 22.805663 -3.8176434e-16) (4.3865613 0.18843402 1.392025e-16)) ((-1.1402832 15.069343 3.1892385e-10) (-0.0094217009 0.21932806 0.007055567)))
0.019	(((301.26276 27.185632 -3.7855261e-16) (4.3800989 0.2379476 1.3861928e-16)) ((-1.3592816 15.063138 2.945191e-10) (-0.01189738 0.21900494 0.0088887131)))
0.0195	(((301.3123 31.106774 -3.7525812e-16) (4.3749428 0.28651031 1.3798751e-16)) ((-1.5553387 15.065615 2.6493936e-10) (-0.014325515 0.21874714 0.010843825)))
0.02	(((301.47652 34.331978 -3.7204914e-16) (4.3707399 0.33190083 1.3734695e-16)) ((-1.7165989 15.073826 2.349029e-10) (-0.016595042 0.21853699 0.012828822)))
0.0205	(((301.69682 36.671675 -3.690446e-16) (4.3666833 0.37151824 1.3671492e-16)) ((-1.8335837 15.084841 2.0268497e-10) (-0.018575912 0.21833417 0.014688478)))
0.021	(((301.87292 37.914814 -3.6672582e-16) (4.3627761 0.40174995 1.3621819e-16)) ((-1.8957407 15.093646 1.6365959e-10) (-0.020087497 0.2181388 0.016141443)))
0.0215	(((301.83608 37.962837 -3.6472745e-16) (4.3587792 0.42150063 1.3566687e-16)) ((-1.8981418 15.091804 1.2470801e-10) (-0.021075031 0.21793896 0.017209975)))
0.022	(((301.70334 36.815416 -3.6335319e-16) (4.3552967 0.43105237 1.3522946e-16)) ((-1.8407708 15.085167 9.7711061e-11) (-0.021552618 0.21776483 0.018035338)))
0.0225	(((301.42246 34.563829 -3.6216818e-16) (4.3518731 0.43060811 1.3475859e-16)) ((-1.7281914 15.071123 8.0361565e-11) (-0.021530406 0.21759366 0.018648727)))
0.023	(((300.97406 31.260828 -3.6126959e-16) (4.3475708 0.41949944 1.3426637e-16)) ((-1.5630414 15.048703 7.3881276e-11) (-0.020974972 0.21737854 0.018964369)))
0.0235	(((300.38686 26.996417 -3.6094074e-16) (4.3418961 0.39704797 1.3383328e-16)) ((-1.3498209 15.019343 7.9789689e-11) (-0.019852399 0.2170948 0.01886119)))
0.024	(((299.63945 21.955671 -3.6136791e-16) (4.3346844 0.3636632 1.3350564e-16)) ((-1.0977836 14.981973 9.7664057e-11) (-0.01818316 0.21673422 0.018283803)))
0.0245	(((298.67719 16.513549 -3.6187385e-16) (4.3258743 0.32158204 1.3304499e-16)) ((-0.82567743 14.93386 1.2888941e-10) (-0.016079102 0.21629371 0.017308994)))
0.025	(((297.66489 11.031748 -3.6262656e-16) (4.3162849 0.27387298 1.3253267e-16)) ((-0.55158739 14.883244 1.7114644e-10) (-0.013693649 0.21581425 0.016071765)))
0.0255	(((296.56909 5.8305065 -3.6329307e-16) (4.3062216 0.22377553 1.3191224e-16)) ((-0.29152533 14.828455 2.1910868e-10) (-0.011188777 0.21531108 0.01470009)))
0.026	(((295.48653 1.1611347 -3.6396298e-16) (4.2963931 0.17407281 1.313005e-16)) ((-0.058056733 14.774326 2.7238237e-10) (-0.0087036403 0.21481966 0.013260358)))
