# Time	forces(pressure, viscous) moment(pressure, viscous)
0.0005	(((13.146968 0.042840573 3.8518422e-18) (0.13952599 0.00020018023 -2.2804314e-18)) ((-0.0021420287 0.6573484 1.2462535e-13) (-1.0009011e-05 0.0069762996 -6.377107e-06)))
0.001	(((0.076175544 -0.0012807812 -1.6221756e-20) (0.084762531 0.00012155012 9.3770751e-21)) ((6.403906e-05 0.0038087772 6.6128353e-15) (-6.0775059e-06 0.0042381266 -3.1130365e-06)))
0.0015	(((0.065395895 -0.0012527476 -1.594582e-20) (0.058805584 8.1992046e-05 8.8624465e-21)) ((6.2637382e-05 0.0032697947 7.0527572e-15) (-4.0996023e-06 0.0029402792 -1.6949369e-06)))
0.002	(((0.055698033 -0.0012285697 -1.6654149e-20) (0.045554179 6.0561025e-05 9.0515698e-21)) ((6.1428487e-05 0.0027849016 5.9859928e-15) (-3.0280512e-06 0.002277709 -1.0341883e-06)))
0.0025	(((0.049266016 -0.0011941434 -1.7212696e-20) (0.038054307 4.7618886e-05 9.2519493e-21)) ((5.9707171e-05 0.0024633008 4.3201931e-15) (-2.3809443e-06 0.0019027154 -6.9927156e-07)))
0.003	(((0.044667883 -0.0011565881 -1.7705013e-20) (0.033350143 3.8985854e-05 9.4646143e-21)) ((5.7829403e-05 0.0022333941 2.6215001e-15) (-1.9492927e-06 0.0016675072 -5.1289422e-07)))
0.0035	(((0.041205729 -0.0011185334 -1.81481e-20) (0.03012144 3.2749199e-05 9.6765254e-21)) ((5.5926669e-05 0.0020602864 1.0750038e-15) (-1.6374599e-06 0.001506072 -3.9985898e-07)))
0.004	(((0.038496185 -0.001081193 -1.8545342e-20) (0.027741034 2.7965502e-05 9.877811e-21)) ((5.4059649e-05 0.0019248092 -2.7692938e-16) (-1.3982751e-06 0.0013870517 -3.2547637e-07)))
0.0045	(((0.036311443 -0.0010451058 -1.8898557e-20) (0.025889196 2.4135659e-05 1.0063075e-20)) ((5.2255289e-05 0.0018155722 -1.4428332e-15) (-1.206783e-06 0.0012944598 -2.7326139e-07)))
0.005	(((0.034507148 -0.0010104818 -1.9210486e-20) (0.024390436 2.0974015e-05 1.023023e-20)) ((5.0524088e-05 0.0017253574 -2.4430046e-15) (-1.0487007e-06 0.0012195218 -2.347785e-07)))
0.0055	(((0.032987565 -0.00097737667 -1.9484691e-20) (0.023141345 1.8304835e-05 1.03792e-20)) ((4.8868834e-05 0.0016493783 -3.3008429e-15) (-9.1524176e-07 0.0011570672 -2.0537378e-07)))
0.006	(((0.031686853 -0.00094575537 -1.9725037e-20) (0.022076987 1.6013155e-05 1.0510953e-20)) ((4.7287769e-05 0.0015843426 -4.0371444e-15) (-8.0065773e-07 0.0011038494 -1.8228327e-07)))
0.0065	(((0.030558344 -0.00091554284 -1.9935351e-20) (0.021154308 1.4019854e-05 1.0626937e-20)) ((4.5777142e-05 0.0015279172 -4.6719216e-15) (-7.0099269e-07 0.0010577154 -1.6376211e-07)))
0.007	(((0.029568073 -0.00088664589 -2.0119218e-20) (0.020343438 1.2268217e-05 1.0728748e-20)) ((4.4332295e-05 0.0014784037 -5.2214066e-15) (-6.1341083e-07 0.0010171719 -1.4865233e-07)))
0.0075	(((0.028690743 -0.00085899604 -2.027993e-20) (0.019622863 1.0716098e-05 1.0817985e-20)) ((4.2949802e-05 0.0014345372 -5.6989896e-15) (-5.3580492e-07 0.00098114316 -1.3615405e-07)))
0.008	(((0.027907079 -0.00083247715 -2.0420342e-20) (0.018976601 9.331504e-06 1.0896103e-20)) ((4.1623858e-05 0.0013953539 -6.1150877e-15) (-4.665752e-07 0.00094883004 -1.256979e-07)))
0.0085	(((0.027202121 -0.00080698632 -2.0542963e-20) (0.018392463 8.0895588e-06 1.096442e-20)) ((4.0349316e-05 0.001360106 -6.4787568e-15) (-4.0447794e-07 0.00091962313 -1.168666e-07)))
0.009	(((0.026564031 -0.00078248317 -2.0650003e-20) (0.017860951 6.970461e-06 1.102412e-20)) ((3.9124159e-05 0.0013282016 -6.7978972e-15) (-3.4852305e-07 0.00089304755 -1.0928065e-07)))
0.0095	(((0.0259834 -0.00075885756 -2.0743345e-20) (0.01737452 5.9580975e-06 1.1076221e-20)) ((3.7942878e-05 0.00129917 -7.0788621e-15) (-2.9790487e-07 0.00086872598 -1.0279434e-07)))
0.01	(((0.025452468 -0.00073603665 -2.0824656e-20) (0.016927091 5.0396907e-06 1.1121635e-20)) ((3.6801832e-05 0.0012726234 -7.32686e-15) (-2.5198453e-07 0.00084635455 -9.7003403e-08)))
0.0105	(((0.024965003 -0.00071395893 -2.0895327e-20) (0.016513675 4.2041073e-06 1.1161127e-20)) ((3.5697946e-05 0.0012482502 -7.545785e-15) (-2.1020536e-07 0.00082568374 -9.2044564e-08)))
0.011	(((0.024515677 -0.00069257921 -2.0956611e-20) (0.016130152 3.4422935e-06 1.1195388e-20)) ((3.462896e-05 0.0012257838 -7.7390367e-15) (-1.7211467e-07 0.00080650759 -8.7760312e-08)))
0.0115	(((0.024100069 -0.00067185497 -2.1009574e-20) (0.015773075 2.746544e-06 1.1225009e-20)) ((3.3592748e-05 0.0012050035 -7.9100893e-15) (-1.373272e-07 0.00078865373 -8.403666e-08)))
0.012	(((0.023714433 -0.00065175007 -2.1055146e-20) (0.015439532 2.1102465e-06 1.1250502e-20)) ((3.2587504e-05 0.0011857217 -8.0614327e-15) (-1.0551232e-07 0.00077197661 -8.0786395e-08)))
0.0125	(((0.023355569 -0.00063223355 -2.1094136e-20) (0.015127046 1.5276819e-06 1.1272319e-20)) ((3.1611678e-05 0.0011677785 -8.1954813e-15) (-7.6384093e-08 0.0007563523 -7.7940313e-08)))
0.013	(((0.023020726 -0.00061327879 -2.1127253e-20) (0.014833492 9.9385633e-07 1.1290849e-20)) ((3.066394e-05 0.0011510363 -8.3140474e-15) (-4.9692816e-08 0.00074167459 -7.5435226e-08)))
0.0135	(((0.02270753 -0.00059486756 -2.1155114e-20) (0.014557034 5.0439402e-07 1.1306439e-20)) ((2.9743378e-05 0.0011353765 -8.4185775e-15) (-2.5219701e-08 0.00072785171 -7.3236759e-08)))
0.014	(((0.022413903 -0.000576976 -2.1178275e-20) (0.014296077 5.5624226e-08 1.1319391e-20)) ((2.88488e-05 0.0011206951 -8.5099725e-15) (-2.7812113e-09 0.00071480383 -7.1342147e-08)))
0.0145	(((0.022138035 -0.00055958571 -2.1197213e-20) (0.014049227 -3.5596391e-07 1.1329969e-20)) ((2.7979285e-05 0.0011069017 -8.5892078e-15) (1.7798195e-08 0.00070246135 -6.9702235e-08)))
