# Time	forces(pressure, viscous) moment(pressure, viscous)
0.0245	(((167.8488 -3.276782 -3.7492452e-16) (0 0 0)) ((0.1638391 8.39244 2.0477675e-10) (0 0 0)))
0.025	(((167.88435 -3.2264066 -3.7466238e-16) (0 0 0)) ((0.16132033 8.3942175 2.1802485e-10) (0 0 0)))
0.0255	(((167.9 -2.9977345 -3.7444763e-16) (0 0 0)) ((0.14988673 8.3950002 2.2943387e-10) (0 0 0)))
0.026	(((167.89532 -2.608822 -3.743012e-16) (0 0 0)) ((0.1304411 8.3947659 2.3839198e-10) (0 0 0)))
0.0265	(((167.87553 -2.0894135 -3.7422451e-16) (0 0 0)) ((0.10447067 8.3937765 2.4383596e-10) (0 0 0)))
0.027	(((167.84805 -1.4797662 -3.7420404e-16) (0 0 0)) ((0.073988309 8.3924026 2.4454394e-10) (0 0 0)))
0.0275	(((167.82076 -0.82662203 -3.7421432e-16) (0 0 0)) ((0.041331102 8.3910379 2.398242e-10) (0 0 0)))
0.028	(((167.80508 -0.18038145 -3.7422621e-16) (0 0 0)) ((0.0090190724 8.3902542 2.2903886e-10) (0 0 0)))
0.0285	(((167.80549 0.40884212 -3.7420936e-16) (0 0 0)) ((-0.020442106 8.3902744 2.1280316e-10) (0 0 0)))
0.029	(((167.82334 0.89644761 -3.7414157e-16) (0 0 0)) ((-0.044822381 8.3911672 1.9266655e-10) (0 0 0)))
0.0295	(((167.84921 1.2458989 -3.7402943e-16) (0 0 0)) ((-0.062294946 8.3924607 1.7363432e-10) (0 0 0)))
0.03	(((167.87003 1.4316914 -3.7391367e-16) (0 0 0)) ((-0.07158457 8.3935016 1.5782369e-10) (0 0 0)))
0.0305	(((167.88447 1.4408407 -3.7383519e-16) (0 0 0)) ((-0.072042036 8.3942234 1.4418861e-10) (0 0 0)))
0.031	(((167.88604 1.2745763 -3.7382216e-16) (0 0 0)) ((-0.063728817 8.3943022 1.3518683e-10) (0 0 0)))
0.0315	(((167.8718 0.94685189 -3.7388778e-16) (0 0 0)) ((-0.047342595 8.3935899 1.3196807e-10) (0 0 0)))
0.032	(((167.84489 0.48405706 -3.7402587e-16) (0 0 0)) ((-0.024202853 8.3922447 1.3419305e-10) (0 0 0)))
0.0325	(((167.81142 -0.076539654 -3.74211e-16) (0 0 0)) ((0.0038269827 8.3905709 1.4075055e-10) (0 0 0)))
0.033	(((167.78087 -0.69047803 -3.7440536e-16) (0 0 0)) ((0.034523902 8.3890437 1.5003701e-10) (0 0 0)))
0.0335	(((167.76082 -1.3097816 -3.7456801e-16) (0 0 0)) ((0.065489078 8.3880409 1.6071108e-10) (0 0 0)))
0.034	(((167.75934 -1.8836147 -3.7465775e-16) (0 0 0)) ((0.094180733 8.3879671 1.7158041e-10) (0 0 0)))
0.0345	(((167.77942 -2.3664124 -3.7464538e-16) (0 0 0)) ((0.11832062 8.3889712 1.8205294e-10) (0 0 0)))
0.035	(((167.8112 -2.7196283 -3.7453503e-16) (0 0 0)) ((0.13598142 8.3905598 1.9474771e-10) (0 0 0)))
0.0355	(((167.84226 -2.914401 -3.7436758e-16) (0 0 0)) ((0.14572005 8.392113 2.084869e-10) (0 0 0)))
0.036	(((167.86795 -2.933874 -3.7418842e-16) (0 0 0)) ((0.1466937 8.3933973 2.2069024e-10) (0 0 0)))
0.0365	(((167.8798 -2.7756804 -3.7403595e-16) (0 0 0)) ((0.13878402 8.3939899 2.3122575e-10) (0 0 0)))
0.037	(((167.87565 -2.4512494 -3.7393498e-16) (0 0 0)) ((0.12256247 8.3937824 2.396751e-10) (0 0 0)))
0.0375	(((167.85883 -1.9846756 -3.7389254e-16) (0 0 0)) ((0.09923378 8.3929413 2.4500209e-10) (0 0 0)))
0.038	(((167.83406 -1.412345 -3.739012e-16) (0 0 0)) ((0.07061725 8.391703 2.4597859e-10) (0 0 0)))
0.0385	(((167.80842 -0.77890947 -3.7394013e-16) (0 0 0)) ((0.038945474 8.3904211 2.4174477e-10) (0 0 0)))
0.039	(((167.79329 -0.13384474 -3.7398154e-16) (0 0 0)) ((0.0066922371 8.3896645 2.3142167e-10) (0 0 0)))
0.0395	(((167.79176 0.47054305 -3.7399735e-16) (0 0 0)) ((-0.023527153 8.389588 2.1547487e-10) (0 0 0)))
0.04	(((167.80699 0.98676391 -3.7396371e-16) (0 0 0)) ((-0.049338196 8.3903495 1.9532637e-10) (0 0 0)))
0.0405	(((167.83299 1.3744396 -3.7387993e-16) (0 0 0)) ((-0.068721981 8.3916494 1.7511986e-10) (0 0 0)))
0.041	(((167.85324 1.6033798 -3.7378562e-16) (0 0 0)) ((-0.080168992 8.392662 1.5865452e-10) (0 0 0)))
0.0415	(((167.86808 1.6557767 -3.7372385e-16) (0 0 0)) ((-0.082788836 8.393404 1.4388917e-10) (0 0 0)))
0.042	(((167.87077 1.5282935 -3.7372433e-16) (0 0 0)) ((-0.076414674 8.3935386 1.3346427e-10) (0 0 0)))
0.0425	(((167.85776 1.2312459 -3.7380402e-16) (0 0 0)) ((-0.061562297 8.392888 1.2877794e-10) (0 0 0)))
0.043	(((167.83121 0.78808444 -3.7395927e-16) (0 0 0)) ((-0.039404222 8.3915606 1.2976682e-10) (0 0 0)))
0.0435	(((167.7967 0.23355587 -3.7416794e-16) (0 0 0)) ((-0.011677794 8.3898349 1.3540168e-10) (0 0 0)))
0.044	(((167.7635 -0.38905151 -3.7439355e-16) (0 0 0)) ((0.019452575 8.388175 1.4410591e-10) (0 0 0)))
0.0445	(((167.73944 -1.0315589 -3.7459368e-16) (0 0 0)) ((0.051577943 8.386972 1.5452591e-10) (0 0 0)))
0.045	(((167.73334 -1.6427103 -3.7472701e-16) (0 0 0)) ((0.082135515 8.3866671 1.6537021e-10) (0 0 0)))
0.0455	(((167.7487 -2.1753119 -3.7476022e-16) (0 0 0)) ((0.10876559 8.3874351 1.7591194e-10) (0 0 0)))
0.046	(((167.78326 -2.5880246 -3.7468124e-16) (0 0 0)) ((0.12940123 8.3891629 1.8676086e-10) (0 0 0)))
0.0465	(((167.82138 -2.8489145 -3.7451846e-16) (0 0 0)) ((0.14244572 8.391069 2.0027201e-10) (0 0 0)))
0.047	(((167.85506 -2.9379021 -3.7432256e-16) (0 0 0)) ((0.1468951 8.3927531 2.1306156e-10) (0 0 0)))
0.0475	(((167.87865 -2.8483756 -3.7413731e-16) (0 0 0)) ((0.14241878 8.3939323 2.2411933e-10) (0 0 0)))
0.048	(((167.88589 -2.5877382 -3.7399507e-16) (0 0 0)) ((0.12938691 8.3942947 2.333579e-10) (0 0 0)))
