# Time	Cd	Cl	Cm
0.087	308.67746	-7.1057568	0
0.0875	308.67758	-7.0897916	0
0.088	308.67767	-7.0777248	0
0.0885	308.6779	-7.0698699	0
0.089	308.67804	-7.0664269	0
0.0895	308.67809	-7.0678248	0
0.09	308.67804	-7.0737215	0
0.0905	308.67765	-7.0829336	0
0.091	308.67727	-7.0957187	0
0.0915	308.67675	-7.1103948	0
0.092	308.67643	-7.1258936	0
0.0925	308.67605	-7.1407634	0
0.093	308.67589	-7.1533515	0
0.0935	308.6758	-7.1631924	0
0.094	308.67599	-7.1695841	0
0.0945	308.6762	-7.1721878	0
0.095	308.6765	-7.1708181	0
0.0955	308.67678	-7.1657455	0
0.096	308.67716	-7.1575098	0
0.0965	308.67739	-7.1470675	0
0.097	308.67757	-7.1347972	0
0.0975	308.67765	-7.1220431	0
0.098	308.67768	-7.1098244	0
0.0985	308.67771	-7.0990789	0
0.099	308.67773	-7.0911378	0
0.0995	308.67777	-7.0859885	0
0.1	308.67775	-7.0839152	0
0.1005	308.6777	-7.0850252	0
0.101	308.67754	-7.0890869	0
0.1015	308.67721	-7.095545	0
0.102	308.67692	-7.1040527	0
0.1025	308.67659	-7.1140217	0
0.103	308.67631	-7.1243421	0
0.1035	308.67611	-7.1341319	0
0.104	308.67604	-7.1427049	0
0.1045	308.67605	-7.1493604	0
0.105	308.67617	-7.153263	0
0.1055	308.67637	-7.1548051	0
0.106	308.67664	-7.1538283	0
0.1065	308.67691	-7.1506074	0
0.107	308.6772	-7.1449971	0
0.1075	308.67745	-7.1378165	0
0.108	308.67765	-7.1297766	0
0.1085	308.67778	-7.1212395	0
0.109	308.67784	-7.113229	0
0.1095	308.67781	-7.1062199	0
0.11	308.67779	-7.1008516	0
0.1105	308.67772	-7.0973467	0
0.111	308.6776	-7.0959569	0
0.1115	308.67748	-7.0968038	0
0.112	308.67727	-7.0995398	0
0.1125	308.67698	-7.1040379	0
0.113	308.67673	-7.1097406	0
0.1135	308.67654	-7.1164255	0
0.114	308.67635	-7.1232186	0
0.1145	308.67624	-7.1297682	0
0.115	308.67618	-7.1351135	0
0.1155	308.67621	-7.1394784	0
0.116	308.67633	-7.1421787	0
0.1165	308.67647	-7.1431852	0
0.117	308.67667	-7.142466	0
0.1175	308.67688	-7.1402004	0
0.118	308.67713	-7.1365937	0
0.1185	308.67736	-7.1317564	0
0.119	308.67753	-7.1263653	0
0.1195	308.67768	-7.1208191	0
0.12	308.67774	-7.1155062	0
0.1205	308.67776	-7.1109431	0
0.121	308.6777	-7.1073489	0
0.1215	308.67762	-7.1054379	0
0.122	308.67747	-7.1044653	0
0.1225	308.67732	-7.1050474	0
0.123	308.6771	-7.1068295	0
0.1235	308.67694	-7.1098501	0
0.124	308.67673	-7.1136025	0
0.1245	308.6766	-7.1179406	0
0.125	308.67645	-7.1224305	0
0.1255	308.6764	-7.1266381	0
0.126	308.67639	-7.1302137	0
0.1265	308.67641	-7.133184	0
0.127	308.67651	-7.1346642	0
0.1275	308.67658	-7.1356702	0
0.128	308.67675	-7.1349193	0
0.1285	308.67687	-7.1336822	0
0.129	308.67706	-7.1310787	0
0.1295	308.6772	-7.1281665	0
0.13	308.67731	-7.1245302	0
0.1305	308.67742	-7.1211328	0
0.131	308.67747	-7.1175375	0
0.1315	308.67749	-7.1148153	0
0.132	308.67746	-7.1121796	0
0.1325	308.67739	-7.1112154	0
0.133	308.67732	-7.1103058	0
0.1335	308.6772	-7.111026	0
0.134	308.67712	-7.1118675	0
0.1345	308.67691	-7.1141043	0
0.135	308.67688	-7.1161955	0
0.1355	308.67668	-7.1193372	0
0.136	308.67667	-7.1218788	0
0.1365	308.67658	-7.1249148	0
0.137	308.67663	-7.1269603	0
0.1375	308.67658	-7.1291593	0
0.138	308.67671	-7.1298541	0
0.1385	308.67668	-7.1306555	0
0.139	308.67685	-7.1299162	0
0.1395	308.67683	-7.129446	0
0.14	308.6771	-7.127443	0
0.1405	308.67711	-7.1258427	0
0.141	308.67726	-7.12325	0
0.1415	308.67725	-7.1213261	0
0.142	308.67736	-7.1187895	0
0.1425	308.67729	-7.1172	0
0.143	308.67736	-7.1155119	0
0.1435	308.67722	-7.1149695	0
0.144	308.67731	-7.1141898	0
0.1445	308.67708	-7.1148554	0
0.145	308.67715	-7.1152016	0
0.1455	308.6769	-7.1167874	0
0.146	308.67694	-7.1180081	0
0.1465	308.67679	-7.1200685	0
0.147	308.67681	-7.1215838	0
0.1475	308.67673	-7.1235927	0
0.148	308.67678	-7.1248044	0
0.1485	308.67671	-7.1262908	0
0.149	308.67684	-7.1266861	0
0.1495	308.67676	-7.1273407	0
0.15	308.67694	-7.1267874	0
0.1505	308.67687	-7.1265371	0
0.151	308.67708	-7.1252402	0
0.1515	308.67703	-7.1243134	0
0.152	308.67719	-7.1225673	0
0.1525	308.67712	-7.1214747	0
0.153	308.67725	-7.1197727	0
0.1535	308.67717	-7.1188536	0
0.154	308.67725	-7.1176331	0
0.1545	308.67711	-7.1173837	0
0.155	308.67722	-7.1168754	0
0.1555	308.67704	-7.1173198	0
0.156	308.67718	-7.1174609	0
0.1565	308.67695	-7.118546	0
0.157	308.67698	-7.1192459	0
0.1575	308.67684	-7.1206802	0
0.158	308.67693	-7.1214835	0
0.1585	308.67678	-7.1229528	0
0.159	308.67688	-7.1235964	0
0.1595	308.67677	-7.1245114	0
0.16	308.6769	-7.1247816	0
0.1605	308.67679	-7.1251617	0
0.161	308.67695	-7.1247719	0
0.1615	308.67688	-7.1246516	0
0.162	308.67704	-7.1238198	0
0.1625	308.67696	-7.1232346	0
0.163	308.6771	-7.1221454	0
0.1635	308.67704	-7.1214888	0
0.164	308.67716	-7.1203099	0
0.1645	308.67706	-7.1198159	0
0.165	308.67715	-7.1190599	0
0.1655	308.67706	-7.1188848	0
0.166	308.67711	-7.1185702	0
0.1665	308.67705	-7.1188721	0
0.167	308.67707	-7.1189491	0
0.1675	308.67701	-7.1196362	0
0.168	308.677	-7.1200698	0
0.1685	308.67696	-7.1209416	0
0.169	308.67695	-7.1215144	0
0.1695	308.67693	-7.1223412	0
0.17	308.67692	-7.1227989	0
0.1705	308.67692	-7.1233803	0
0.171	308.67693	-7.1235355	0
0.1715	308.67693	-7.1237741	0
0.172	308.67695	-7.1235805	0
0.1725	308.67696	-7.1234738	0
0.173	308.67698	-7.1229973	0
0.1735	308.67701	-7.1225831	0
0.174	308.67703	-7.1219729	0
0.1745	308.67705	-7.1214419	0
0.175	308.67705	-7.120871	0
0.1755	308.67706	-7.1204229	0
0.176	308.67705	-7.1200249	0
0.1765	308.67705	-7.119702	0
0.177	308.67703	-7.1197353	0
0.1775	308.67703	-7.1197781	0
0.178	308.67698	-7.1200301	0
0.1785	308.67702	-7.1203719	0
0.179	308.67692	-7.1207391	0
0.1795	308.677	-7.1211123	0
0.18	308.67693	-7.1215698	0
0.1805	308.67697	-7.1219781	0
0.181	308.6769	-7.1224	0
0.1815	308.677	-7.1225956	0
0.182	308.6769	-7.1227635	0
0.1825	308.67702	-7.1227673	0
0.183	308.67694	-7.1227114	0
0.1835	308.67688	-7.1227421	0
0.184	308.67691	-7.1225254	0
0.1845	308.67693	-7.1221536	0
0.185	308.67713	-7.1215826	0
0.1855	308.67693	-7.1214459	0
0.186	308.67716	-7.1209264	0
0.1865	308.67695	-7.120897	0
0.187	308.67712	-7.1205985	0
0.1875	308.67708	-7.1205307	0
0.188	308.67701	-7.1204658	0
0.1885	308.67703	-7.1205431	0
0.189	308.677	-7.120648	0
0.1895	308.677	-7.1208246	0
0.19	308.67692	-7.1211409	0
0.1905	308.67702	-7.1213018	0
