# Time	Cd	Cl	Cm
0.0005	26.572988	0.086081507	0
0.001	0.32187615	-0.0023184622	0
0.0015	0.24840296	-0.0023415112	0
0.002	0.20250442	-0.0023360174	0
0.0025	0.17464065	-0.0022930491	0
0.003	0.15603605	-0.0022352044	0
0.0035	0.14265434	-0.0021715684	0
0.004	0.13247444	-0.002106455	0
0.0045	0.12440128	-0.0020419402	0
0.005	0.11779517	-0.0019790155	0
0.0055	0.11225782	-0.0019181437	0
0.006	0.10752768	-0.0018594844	0
0.0065	0.1034253	-0.001803046	0
0.007	0.099823022	-0.0017487553	0
0.0075	0.096627213	-0.0016965599	0
0.008	0.093767359	-0.0016462913	0
0.0085	0.091189167	-0.0015977935	0
0.009	0.088849964	-0.0015510254	0
0.0095	0.08671584	-0.0015057989	0
0.01	0.084759118	-0.0014619939	0
0.0105	0.082957356	-0.0014195096	0
0.011	0.081291657	-0.0013782738	0
0.0115	0.079746288	-0.0013382168	0
0.012	0.078307931	-0.0012992797	0
0.0125	0.07696523	-0.0012614117	0
0.013	0.075708436	-0.0012245699	0
0.0135	0.074529127	-0.0011887263	0
0.014	0.073419959	-0.0011538407	0
0.0145	0.072374524	-0.0011198833	0
0.015	0.071387198	-0.0010868296	0
0.0155	0.070453016	-0.0010546585	0
0.016	0.069567585	-0.0010233509	0
0.0165	0.068726985	-0.00099288864	0
0.017	0.067927714	-0.00096325526	0
0.0175	0.067166632	-0.0009344349	0
0.018	0.066440919	-0.00090641222	0
0.0185	0.065748035	-0.00087917232	0
0.019	0.065085688	-0.00085270054	0
0.0195	0.064451802	-0.00082698223	0
0.02	0.063844488	-0.00080200274	0
0.0205	0.063262026	-0.00077774742	0
0.021	0.062702841	-0.00075420147	0
0.0215	0.062165494	-0.00073134998	0
0.022	0.061648666	-0.00070917786	0
0.0225	0.061151142	-0.00068767325	0
0.023	0.060671788	-0.0006668561	0
0.0235	0.060209611	-0.00064666899	0
0.024	0.059763648	-0.0006270966	0
0.0245	0.059333058	-0.00060812379	0
0.025	0.058917009	-0.00058973512	0
0.0255	0.058514745	-0.00057191545	0
0.026	0.058125565	-0.00055464961	0
0.0265	0.057748815	-0.0005379225	0
0.027	0.057383887	-0.0005217192	0
0.0275	0.057030218	-0.00050602491	0
0.028	0.056687282	-0.00049082505	0
0.0285	0.05635458	-0.00047610518	0
0.029	0.056031653	-0.00046184759	0
0.0295	0.055718064	-0.00044804164	0
0.03	0.055413404	-0.00043467404	0
0.0305	0.055117298	-0.00042173142	0
0.031	0.054829382	-0.00040920061	0
0.0315	0.054549313	-0.00039706882	0
0.032	0.054276769	-0.00038532366	0
0.0325	0.054011446	-0.00037394884	0
0.033	0.053753065	-0.00036293401	0
0.0335	0.053501352	-0.00035226998	0
0.034	0.053256053	-0.00034194561	0
0.0345	0.053016924	-0.00033195009	0
0.035	0.05278374	-0.00032227278	0
0.0355	0.05255628	-0.00031290327	0
0.036	0.05233434	-0.00030383156	0
0.0365	0.052117724	-0.00029504786	0
0.037	0.051906244	-0.00028654297	0
0.0375	0.051699733	-0.00027830668	0
0.038	0.051498016	-0.00027033101	0
0.0385	0.051300935	-0.00026260765	0
0.039	0.051108334	-0.00025512788	0
0.0395	0.050920077	-0.0002478838	0
0.04	0.050735996	-0.00024086731	0
0.0405	0.050555955	-0.00023407123	0
0.041	0.050379718	-0.00022749129	0
0.0415	0.05020751	-0.00022111225	0
0.042	0.050038938	-0.00021493423	0
0.0425	0.049873936	-0.00020894909	0
0.043	0.049712402	-0.00020315033	0
0.0435	0.049554235	-0.0001975318	0
0.044	0.049399336	-0.00019208756	0
0.0445	0.049247612	-0.00018681189	0
0.045	0.049098972	-0.00018169927	0
0.0455	0.048953331	-0.0001767443	0
0.046	0.048810613	-0.00017194211	0
0.0465	0.04867073	-0.00016728692	0
0.047	0.048533604	-0.00016277433	0
0.0475	0.048399158	-0.00015839968	0
0.048	0.048267322	-0.00015415844	0
0.0485	0.048138024	-0.00015004597	0
0.049	0.0480112	-0.00014605815	0
0.0495	0.047886782	-0.00014219117	0
0.05	0.047764705	-0.00013844091	0
0.0505	0.047644915	-0.00013480366	0
0.051	0.047527354	-0.00013127575	0
0.0515	0.047411966	-0.00012785359	0
0.052	0.047298696	-0.00012453402	0
0.0525	0.047187495	-0.00012131351	0
0.053	0.047078277	-0.00011818953	0
0.0535	0.046971084	-0.00011515696	0
0.054	0.046865804	-0.00011221447	0
0.0545	0.0467624	-0.00010935876	0
0.055	0.046660832	-0.00010658699	0
0.0555	0.046561055	-0.00010389644	0
0.056	0.046463031	-0.00010128447	0
0.0565	0.046366718	-9.8748544e-05	0
0.057	0.046272082	-9.6286507e-05	0
0.0575	0.046179089	-9.3895243e-05	0
0.058	0.046087695	-9.1572892e-05	0
0.0585	0.045997866	-8.9317217e-05	0
0.059	0.045909569	-8.712608e-05	0
0.0595	0.045822769	-8.4997405e-05	0
0.06	0.045737435	-8.2929182e-05	0
0.0605	0.045653536	-8.0919468e-05	0
0.061	0.04557104	-7.8966387e-05	0
0.0615	0.04548992	-7.7068118e-05	0
0.062	0.045410147	-7.5222903e-05	0
0.0625	0.045331693	-7.3429034e-05	0
0.063	0.045254531	-7.1684832e-05	0
0.0635	0.045178638	-6.9988793e-05	0
0.064	0.045103992	-6.8341114e-05	0
0.0645	0.045030565	-6.6738679e-05	0
0.065	0.044958333	-6.5179819e-05	0
0.0655	0.044887272	-6.3663147e-05	0
0.066	0.04481736	-6.2187328e-05	0
0.0665	0.044748576	-6.0751064e-05	0
0.067	0.044680897	-5.9353106e-05	0
0.0675	0.044614304	-5.7992246e-05	0
0.068	0.044548775	-5.6667314e-05	0
0.0685	0.04448429	-5.5377182e-05	0
0.069	0.044420832	-5.412074e-05	0
0.0695	0.044358381	-5.2896966e-05	0
0.07	0.044296925	-5.1702058e-05	0
0.0705	0.044236442	-5.0537399e-05	0
0.071	0.044176914	-4.940262e-05	0
0.0715	0.04411833	-4.8296768e-05	0
0.072	0.044060668	-4.7218827e-05	0
0.0725	0.044003907	-4.6168088e-05	0
