# Time	forces(pressure, viscous) moment(pressure, viscous)
0.0265	(((154.56434 -3.1088042 0) (0 0 0)) ((0.15544021 7.7282172 1.3353091e-08) (0 0 0)))
0.027	(((154.54428 -3.2194707 0) (0 0 0)) ((0.16097353 7.7272138 1.3361714e-08) (0 0 0)))
0.0275	(((154.52456 -3.3113331 0) (0 0 0)) ((0.16556665 7.7262278 1.3383619e-08) (0 0 0)))
0.028	(((154.50538 -3.3812908 0) (0 0 0)) ((0.16906454 7.725269 1.3419534e-08) (0 0 0)))
0.0285	(((154.48805 -3.4275963 0) (0 0 0)) ((0.17137981 7.7244023 1.3468221e-08) (0 0 0)))
0.029	(((154.47155 -3.4501846 0) (0 0 0)) ((0.17250923 7.7235777 1.3527529e-08) (0 0 0)))
0.0295	(((154.45602 -3.4506704 0) (0 0 0)) ((0.17253352 7.7228009 1.3594702e-08) (0 0 0)))
0.03	(((154.44188 -3.4321709 0) (0 0 0)) ((0.17160855 7.7220941 1.3666098e-08) (0 0 0)))
0.0305	(((154.4297 -3.3988483 0) (0 0 0)) ((0.16994242 7.721485 1.3737737e-08) (0 0 0)))
0.031	(((154.41982 -3.3560512 0) (0 0 0)) ((0.16780256 7.7209911 1.3805607e-08) (0 0 0)))
0.0315	(((154.41268 -3.3094122 0) (0 0 0)) ((0.16547061 7.7206342 1.3865899e-08) (0 0 0)))
0.032	(((154.40791 -3.2640917 0) (0 0 0)) ((0.16320458 7.7203955 1.391543e-08) (0 0 0)))
0.0325	(((154.40555 -3.2256935 0) (0 0 0)) ((0.16128467 7.7202776 1.3952092e-08) (0 0 0)))
0.033	(((154.40577 -3.1986641 0) (0 0 0)) ((0.1599332 7.7202883 1.3974129e-08) (0 0 0)))
0.0335	(((154.408 -3.1860933 0) (0 0 0)) ((0.15930466 7.7204002 1.398078e-08) (0 0 0)))
0.034	(((154.4106 -3.189707 0) (0 0 0)) ((0.15948535 7.7205299 1.3972678e-08) (0 0 0)))
0.0345	(((154.4127 -3.209941 0) (0 0 0)) ((0.16049705 7.7206348 1.3951601e-08) (0 0 0)))
0.035	(((154.41361 -3.24599 0) (0 0 0)) ((0.1622995 7.7206807 1.3920341e-08) (0 0 0)))
0.0355	(((154.41252 -3.2954293 0) (0 0 0)) ((0.16477147 7.7206262 1.3881981e-08) (0 0 0)))
0.036	(((154.40933 -3.355104 0) (0 0 0)) ((0.1677552 7.7204667 1.3840631e-08) (0 0 0)))
0.0365	(((154.40481 -3.420897 0) (0 0 0)) ((0.17104485 7.7202406 1.3800144e-08) (0 0 0)))
0.037	(((154.39917 -3.4882225 0) (0 0 0)) ((0.17441113 7.7199587 1.3764213e-08) (0 0 0)))
0.0375	(((154.39276 -3.5526675 0) (0 0 0)) ((0.17763338 7.719638 1.373623e-08) (0 0 0)))
0.038	(((154.38654 -3.6098628 0) (0 0 0)) ((0.18049314 7.7193269 1.3718369e-08) (0 0 0)))
0.0385	(((154.38069 -3.6563543 0) (0 0 0)) ((0.18281771 7.7190344 1.3712206e-08) (0 0 0)))
0.039	(((154.3752 -3.6895295 0) (0 0 0)) ((0.18447648 7.71876 1.3718227e-08) (0 0 0)))
0.0395	(((154.37075 -3.7077215 0) (0 0 0)) ((0.18538607 7.7185373 1.3735635e-08) (0 0 0)))
0.04	(((154.36708 -3.7105863 0) (0 0 0)) ((0.18552932 7.7183539 1.3762805e-08) (0 0 0)))
0.0405	(((154.36334 -3.699015 0) (0 0 0)) ((0.18495075 7.7181671 1.3797451e-08) (0 0 0)))
0.041	(((154.35983 -3.6746885 0) (0 0 0)) ((0.18373443 7.7179916 1.3836814e-08) (0 0 0)))
0.0415	(((154.35657 -3.640309 0) (0 0 0)) ((0.18201545 7.7178286 1.3877889e-08) (0 0 0)))
0.042	(((154.35382 -3.5992838 0) (0 0 0)) ((0.17996419 7.7176912 1.3917683e-08) (0 0 0)))
0.0425	(((154.35188 -3.555184 0) (0 0 0)) ((0.1777592 7.7175939 1.3953356e-08) (0 0 0)))
0.043	(((154.3506 -3.512164 0) (0 0 0)) ((0.1756082 7.7175298 1.3982655e-08) (0 0 0)))
0.0435	(((154.35021 -3.4739558 0) (0 0 0)) ((0.17369779 7.7175105 1.4003673e-08) (0 0 0)))
0.044	(((154.35088 -3.4434766 0) (0 0 0)) ((0.17217383 7.7175442 1.4015043e-08) (0 0 0)))
0.0445	(((154.35234 -3.4229912 0) (0 0 0)) ((0.17114956 7.717617 1.4016485e-08) (0 0 0)))
0.045	(((154.35449 -3.413886 0) (0 0 0)) ((0.1706943 7.7177243 1.4008375e-08) (0 0 0)))
0.0455	(((154.3564 -3.4165718 0) (0 0 0)) ((0.17082859 7.7178198 1.3991577e-08) (0 0 0)))
0.046	(((154.35758 -3.4308093 0) (0 0 0)) ((0.17154047 7.7178789 1.3968013e-08) (0 0 0)))
0.0465	(((154.35772 -3.4548687 0) (0 0 0)) ((0.17274344 7.717886 1.3939677e-08) (0 0 0)))
0.047	(((154.35678 -3.4868388 0) (0 0 0)) ((0.17434194 7.7178392 1.3909251e-08) (0 0 0)))
0.0475	(((154.35491 -3.5240245 0) (0 0 0)) ((0.17620123 7.7177456 1.3879262e-08) (0 0 0)))
0.048	(((154.35263 -3.563406 0) (0 0 0)) ((0.1781703 7.7176314 1.3852111e-08) (0 0 0)))
0.0485	(((154.35014 -3.6015913 0) (0 0 0)) ((0.18007957 7.7175069 1.3829977e-08) (0 0 0)))
0.049	(((154.34774 -3.635694 0) (0 0 0)) ((0.1817847 7.7173868 1.3814633e-08) (0 0 0)))
0.0495	(((154.34611 -3.6633009 0) (0 0 0)) ((0.18316504 7.7173057 1.3807022e-08) (0 0 0)))
0.05	(((154.34511 -3.6826557 0) (0 0 0)) ((0.18413279 7.7172553 1.3807314e-08) (0 0 0)))
0.0505	(((154.34429 -3.6924344 0) (0 0 0)) ((0.18462172 7.7172146 1.3815113e-08) (0 0 0)))
0.051	(((154.34372 -3.6922766 0) (0 0 0)) ((0.18461383 7.7171862 1.3829511e-08) (0 0 0)))
0.0515	(((154.34325 -3.6825726 0) (0 0 0)) ((0.18412863 7.7171626 1.3849111e-08) (0 0 0)))
