# Time	forces(pressure, viscous) moment(pressure, viscous)
0.0175	(((295.04483 0.68901079 0) (4.3229927 0.01186624 -2.326013e-17)) ((-0.03445054 14.752242 -1.7519173e-08) (-0.00059331202 0.21614964 0.0018627557)))
0.018	(((293.98605 0.35124098 0) (4.2971355 0.010901348 -2.3061738e-17)) ((-0.017562049 14.699302 -1.5701368e-08) (-0.00054506739 0.21485677 0.001802198)))
0.0185	(((292.95238 -0.12832079 0) (4.2730983 0.0081925697 -2.281493e-17)) ((0.0064160395 14.647619 -1.4756679e-08) (-0.00040962849 0.21365491 0.0016969105)))
0.019	(((291.93589 -0.71844241 0) (4.2511528 0.0038749334 -2.2476629e-17)) ((0.035922121 14.596794 -1.3682152e-08) (-0.00019374667 0.21255764 0.0015283167)))
0.0195	(((290.81397 -1.3975682 0) (4.230098 -0.0015531031 -2.211792e-17)) ((0.069878409 14.540698 -1.2994359e-08) (7.7655153e-05 0.2115049 0.001307553)))
0.02	(((289.64223 -2.1215837 0) (4.2099435 -0.0078985785 -2.1807167e-17)) ((0.10607918 14.482111 -1.253438e-08) (0.00039492892 0.21049717 0.0010680427)))
0.0205	(((288.44218 -2.890308 0) (4.1901781 -0.014958223 -2.1548955e-17)) ((0.1445154 14.422109 -1.2094903e-08) (0.00074791113 0.2095089 0.00081254404)))
0.021	(((287.19986 -3.6526176 0) (4.1709742 -0.02240036 -2.1346701e-17)) ((0.18263088 14.359993 -1.1791548e-08) (0.001120018 0.20854871 0.00055716703)))
0.0215	(((285.91262 -4.3746115 0) (4.1523678 -0.029953861 -2.117689e-17)) ((0.21873057 14.295631 -1.1713121e-08) (0.0014976931 0.20761839 0.00029688977)))
0.022	(((284.59553 -5.0162317 0) (4.1343292 -0.03730663 -2.1031469e-17)) ((0.25081158 14.229777 -1.18478e-08) (0.0018653315 0.20671646 2.7763083e-05)))
0.0225	(((283.26983 -5.5379472 0) (4.1172209 -0.044096045 -2.0920803e-17)) ((0.27689736 14.163491 -1.2171948e-08) (0.0022048023 0.20586104 -0.00024219192)))
0.023	(((281.97583 -5.9001676 0) (4.1012908 -0.049894278 -2.0830794e-17)) ((0.29500838 14.098791 -1.2716484e-08) (0.0024947139 0.20506454 -0.00049233286)))
0.0235	(((280.74258 -6.0642471 0) (4.086667 -0.054290612 -2.0762716e-17)) ((0.30321235 14.037129 -1.3460848e-08) (0.0027145306 0.20433335 -0.00070526383)))
0.024	(((279.58094 -6.0020629 0) (4.0733656 -0.056917935 -2.0712154e-17)) ((0.30010314 13.979047 -1.4308917e-08) (0.0028458967 0.20366828 -0.00086554771)))
0.0245	(((278.49396 -5.6983867 0) (4.0613471 -0.05751052 -2.067393e-17)) ((0.28491933 13.924698 -1.5224539e-08) (0.002875526 0.20306735 -0.00096787738)))
0.025	(((277.46543 -5.1452515 0) (4.0504401 -0.055865111 -2.064548e-17)) ((0.25726257 13.873271 -1.6153785e-08) (0.0027932556 0.20252201 -0.0010047471)))
0.0255	(((276.4805 -4.357626 0) (4.0404097 -0.051925234 -2.0622152e-17)) ((0.2178813 13.824025 -1.7039433e-08) (0.0025962617 0.20202048 -0.00097214318)))
0.026	(((275.52302 -3.3616555 0) (4.0309784 -0.045753581 -2.0597751e-17)) ((0.16808277 13.776151 -1.7840346e-08) (0.0022876791 0.20154892 -0.00086871342)))
0.0265	(((274.57102 -2.1935724 0) (4.0218388 -0.037510122 -2.0566419e-17)) ((0.10967862 13.728551 -1.8529256e-08) (0.0018755061 0.20109194 -0.00069428839)))
0.027	(((273.61717 -0.89818465 0) (4.0127548 -0.027437264 -2.0523426e-17)) ((0.044909232 13.680858 -1.9111801e-08) (0.0013718632 0.20063774 -0.00045074771)))
0.0275	(((272.66299 0.47691655 0) (4.0035819 -0.015856537 -2.0463351e-17)) ((-0.023845827 13.63315 -1.9602569e-08) (0.00079282687 0.20017909 -0.00014260185)))
0.028	(((271.72242 1.8715312 0) (3.9942952 -0.0032237602 -2.0381823e-17)) ((-0.093576559 13.586121 -1.9952739e-08) (0.00016118801 0.19971476 0.00022192018)))
0.0285	(((270.81808 3.2117887 0) (3.9849833 0.0098879318 -2.0279842e-17)) ((-0.16058943 13.540904 -2.0100587e-08) (-0.00049439659 0.19924917 0.00062976448)))
0.029	(((269.96914 4.4221892 0) (3.9757754 0.022834929 -2.0159272e-17)) ((-0.22110946 13.498457 -2.0034542e-08) (-0.0011417464 0.19878877 0.0010626166)))
0.0295	(((269.19269 5.4291589 0) (3.9668232 0.034917341 -2.0023516e-17)) ((-0.27145794 13.459634 -1.9761678e-08) (-0.0017458671 0.19834116 0.0014980708)))
0.03	(((268.49244 6.1614412 0) (3.9582259 0.045409711 -1.9872931e-17)) ((-0.30807206 13.424622 -1.9284337e-08) (-0.0022704856 0.1979113 0.0019113841)))
0.0305	(((267.85074 6.5601103 0) (3.9499165 0.053658059 -1.9716711e-17)) ((-0.32800552 13.392537 -1.8575025e-08) (-0.002682903 0.19749583 0.0022794052)))
