# Time	forces(pressure, viscous) moment(pressure, viscous)
0.0015	(((0.0045815946 4.6876372e-08 9.1177465e-22) (0.0031611904 7.501801e-11 2.7567509e-22)) ((-4.6876372e-10 4.5815946e-05 -2.7073192e-15) (-7.5018009e-13 3.1611904e-05 -2.0766029e-12)))
0.002	(((0.0034461175 5.8498504e-08 8.6993038e-22) (0.0030941199 1.1882679e-10 2.7153383e-22)) ((-5.8498504e-10 3.4461175e-05 -3.1740581e-15) (-1.1882679e-12 3.0941199e-05 -1.9209372e-12)))
0.0025	(((0.0031960449 6.1121176e-08 8.7046527e-22) (0.003037866 1.6380528e-10 2.6720469e-22)) ((-6.1121176e-10 3.1960449e-05 -3.5923544e-15) (-1.6380528e-12 3.037866e-05 -1.746425e-12)))
0.003	(((0.0031566681 6.7134411e-08 8.83447e-22) (0.0029885816 2.1305649e-10 2.6283336e-22)) ((-6.7134411e-10 3.1566681e-05 -3.8751495e-15) (-2.1305649e-12 2.9885816e-05 -1.5730022e-12)))
0.0035	(((0.0031749886 7.2721288e-08 8.9992675e-22) (0.0029441761 2.6631075e-10 2.5848018e-22)) ((-7.2721288e-10 3.1749886e-05 -4.0953039e-15) (-2.6631075e-12 2.9441761e-05 -1.3963597e-12)))
0.004	(((0.0032111968 7.8978379e-08 9.1682245e-22) (0.0029033978 3.2404509e-10 2.5417072e-22)) ((-7.8978379e-10 3.2111968e-05 -4.2578446e-15) (-3.2404509e-12 2.9033978e-05 -1.2149321e-12)))
0.0045	(((0.0032516768 8.3329581e-08 9.3309994e-22) (0.0028654416 3.8474958e-10 2.4991483e-22)) ((-8.3329581e-10 3.2516768e-05 -4.4068447e-15) (-3.8474958e-12 2.8654416e-05 -1.0257069e-12)))
0.005	(((0.0032909053 8.7243023e-08 9.4841156e-22) (0.0028297602 4.4803256e-10 2.4571624e-22)) ((-8.7243023e-10 3.2909053e-05 -4.5313627e-15) (-4.4803256e-12 2.8297602e-05 -8.2852021e-13)))
0.0055	(((0.0033267292 9.069897e-08 9.6271852e-22) (0.0027959653 5.1344295e-10 2.4157568e-22)) ((-9.069897e-10 3.3267292e-05 -4.6328236e-15) (-5.1344295e-12 2.7959653e-05 -6.1216807e-13)))
0.006	(((0.0033597223 9.4915422e-08 9.7614829e-22) (0.0027637326 5.8148626e-10 2.3748192e-22)) ((-9.4915422e-10 3.3597223e-05 -4.692089e-15) (-5.8148626e-12 2.7637326e-05 -2.0245585e-13)))
