# Time	forces(pressure, viscous) moment(pressure, viscous)
0.0005	(((25.42717 3.7216387e-06 2.2837043e-17) (0.24739306 1.5641151e-09 -2.6020206e-21)) ((-3.7216387e-08 0.2542717 -2.3458535e-13) (-1.5641151e-11 0.0024739306 -3.0915021e-11)))
0.001	(((22.889525 5.2803375e-06 1.9698336e-17) (0.23724801 2.1268765e-09 -6.064629e-22)) ((-5.2803375e-08 0.22889525 1.4357851e-13) (-2.1268765e-11 0.0023724801 -4.0530289e-10)))
0.0015	(((27.257751 5.4335237e-06 1.9016885e-17) (0.22646879 3.0721084e-09 -3.4455145e-21)) ((-5.4335237e-08 0.27257751 2.6859786e-13) (-3.0721084e-11 0.0022646879 -7.2977992e-10)))
0.002	(((30.119188 1.0149781e-05 1.8508721e-17) (0.21757244 4.0538515e-09 6.0693207e-21)) ((-1.0149781e-07 0.30119188 6.4579397e-13) (-4.0538515e-11 0.0021757244 -9.0882581e-10)))
0.0025	(((31.791369 1.0357722e-05 1.8198612e-17) (0.21087162 4.0779619e-09 -4.927387e-20)) ((-1.0357722e-07 0.31791369 9.5048188e-13) (-4.0779618e-11 0.0021087162 -9.3594379e-10)))
0.003	(((32.653533 9.921917e-06 1.7968382e-17) (0.20631603 3.880966e-09 -3.2398294e-20)) ((-9.921917e-08 0.32653533 1.1277992e-12) (-3.880966e-11 0.0020631603 -9.1808936e-10)))
0.0035	(((33.265652 2.0888663e-06 1.7764259e-17) (0.20331159 2.1940153e-09 -1.3566651e-20)) ((-2.0888663e-08 0.33265652 1.3333078e-12) (-2.1940153e-11 0.0020331159 -8.2838117e-10)))
0.004	(((33.782627 -2.7138915e-06 1.7590296e-17) (0.20152387 -3.7113722e-09 -2.6636015e-21)) ((2.7138915e-08 0.33782627 1.7447033e-12) (3.7113723e-11 0.0020152387 -7.201367e-10)))
0.0045	(((34.180053 -1.1190244e-05 1.7448973e-17) (0.2004522 -1.0916653e-08 4.8230326e-21)) ((1.1190244e-07 0.34180053 2.4809139e-12) (1.0916653e-10 0.002004522 -6.8767897e-10)))
0.005	(((34.549281 -2.2354295e-05 1.733666e-17) (0.1997319 -2.2036988e-08 1.1199947e-20)) ((2.2354295e-07 0.34549281 3.3598762e-12) (2.2036988e-10 0.001997319 -7.6550959e-10)))
0.0055	(((34.888507 -3.7221197e-05 1.7255535e-17) (0.19918166 -3.8666651e-08 1.7767092e-20)) ((3.7221197e-07 0.34888507 4.6253342e-12) (3.8666651e-10 0.0019918166 -1.0202477e-09)))
0.006	(((35.195336 -5.5023155e-05 1.7206503e-17) (0.19875801 -6.2856419e-08 2.3621546e-20)) ((5.5023155e-07 0.35195336 6.5136308e-12) (6.2856419e-10 0.0019875801 -1.5578473e-09)))
0.0065	(((35.435178 -8.0483484e-05 1.7181513e-17) (0.19846739 -9.3334153e-08 2.5413149e-20)) ((8.0483484e-07 0.35435178 9.3143091e-12) (9.3334153e-10 0.0019846739 -2.384271e-09)))
0.007	(((35.67156 -0.000103936 1.7171769e-17) (0.19831213 -1.3398081e-07 2.4734205e-20)) ((1.03936e-06 0.3567156 1.1898586e-11) (1.3398081e-09 0.0019831213 -3.7953767e-09)))
0.0075	(((35.853701 -0.00013062263 1.7181027e-17) (0.19823013 -1.776724e-07 2.3931617e-20)) ((1.3062263e-06 0.35853701 1.4866126e-11) (1.776724e-09 0.0019823013 -5.3891938e-09)))
0.008	(((35.97972 -0.00016071657 1.7201686e-17) (0.19817932 -2.2335153e-07 2.3312074e-20)) ((1.6071657e-06 0.3597972 1.7355217e-11) (2.2335153e-09 0.0019817932 -7.1438906e-09)))
0.0085	(((36.075574 -0.00018140806 1.722785e-17) (0.1981494 -2.6484565e-07 2.2786793e-20)) ((1.8140806e-06 0.36075574 2.0077594e-11) (2.6484565e-09 0.001981494 -8.2267394e-09)))
0.009	(((36.15378 -0.00020329193 1.7255933e-17) (0.1981471 -3.0713021e-07 2.2232033e-20)) ((2.0329193e-06 0.3615378 2.2324113e-11) (3.0713021e-09 0.001981471 -9.6664991e-09)))
0.0095	(((36.233344 -0.00022431789 1.7284502e-17) (0.19817393 -3.4634765e-07 2.1806857e-20)) ((2.2431789e-06 0.36233344 2.4350144e-11) (3.4634765e-09 0.0019817393 -1.1097968e-08)))
0.01	(((36.313678 -0.00024555701 1.7314736e-17) (0.19822917 -3.8381975e-07 2.1496832e-20)) ((2.4555701e-06 0.36313678 2.617927e-11) (3.8381975e-09 0.0019822917 -1.2311361e-08)))
0.0105	(((36.392579 -0.00026283013 1.7346901e-17) (0.19830875 -4.1697071e-07 2.1284834e-20)) ((2.6283013e-06 0.36392579 2.7720699e-11) (4.1697071e-09 0.0019830875 -1.3302105e-08)))
0.011	(((36.467439 -0.00027941002 1.7380577e-17) (0.19840692 -4.4631809e-07 2.11524e-20)) ((2.7941002e-06 0.36467439 2.8997963e-11) (4.4631809e-09 0.0019840692 -1.4034547e-08)))
0.0115	(((36.53625 -0.00029362956 1.7414887e-17) (0.1985173 -4.6982114e-07 2.1081779e-20)) ((2.9362956e-06 0.3653625 2.9937751e-11) (4.6982114e-09 0.001985173 -1.4517238e-08)))
0.012	(((36.598487 -0.00030638994 1.7448869e-17) (0.19863408 -4.8951658e-07 2.105751e-20)) ((3.0638994e-06 0.36598487 3.0762726e-11) (4.8951658e-09 0.0019863408 -1.4856611e-08)))
0.0125	(((36.655034 -0.00031829834 1.7481582e-17) (0.19875268 -5.0711881e-07 2.1067049e-20)) ((3.1829834e-06 0.36655034 3.1462835e-11) (5.0711881e-09 0.0019875268 -1.499188e-08)))
0.013	(((36.706324 -0.00032859019 1.7512522e-17) (0.19886981 -5.2104013e-07 2.1100463e-20)) ((3.2859019e-06 0.36706324 3.2019123e-11) (5.2104013e-09 0.0019886981 -1.5057212e-08)))
0.0135	(((36.752179 -0.0003396766 1.7541381e-17) (0.1989829 -5.3399001e-07 2.1149599e-20)) ((3.396766e-06 0.36752179 3.2594671e-11) (5.3399001e-09 0.001989829 -1.4965849e-08)))
0.014	(((36.793248 -0.00034959571 1.7567907e-17) (0.19909021 -5.4621216e-07 2.1207997e-20)) ((3.4959571e-06 0.36793248 3.3137963e-11) (5.4621216e-09 0.0019909021 -1.4951845e-08)))
0.0145	(((36.830171 -0.00035920001 1.7591983e-17) (0.19919077 -5.5749606e-07 2.1270792e-20)) ((3.5920001e-06 0.36830171 3.3693e-11) (5.5749606e-09 0.0019919077 -1.4967651e-08)))
0.015	(((36.863363 -0.00036814396 1.7613624e-17) (0.19928411 -5.6845879e-07 2.133438e-20)) ((3.6814396e-06 0.36863363 3.430656e-11) (5.6845879e-09 0.0019928411 -1.4880153e-08)))
0.0155	(((36.893012 -0.00037659148 1.763293e-17) (0.19937011 -5.7982387e-07 2.1396101e-20)) ((3.7659148e-06 0.36893012 3.4964672e-11) (5.7982387e-09 0.0019937011 -1.4981433e-08)))
0.016	(((36.919564 -0.00038526548 1.764996e-17) (0.19944884 -5.8995832e-07 2.1454128e-20)) ((3.8526548e-06 0.36919564 3.5559094e-11) (5.8995832e-09 0.0019944884 -1.4958347e-08)))
0.0165	(((36.943414 -0.00039500345 1.7664809e-17) (0.19952061 -6.0087264e-07 2.1507309e-20)) ((3.9500345e-06 0.36943414 3.6163774e-11) (6.0087264e-09 0.0019952061 -1.5109737e-08)))
0.017	(((36.964916 -0.00040181755 1.7677819e-17) (0.19958589 -6.1325263e-07 2.1555237e-20)) ((4.0181755e-06 0.36964916 3.6887094e-11) (6.1325263e-09 0.0019958589 -1.5366986e-08)))
0.0175	(((36.984542 -0.00040856651 1.7689026e-17) (0.19964524 -6.2338978e-07 2.1597665e-20)) ((4.0856651e-06 0.36984542 3.7449906e-11) (6.2338978e-09 0.0019964524 -1.5551125e-08)))
0.018	(((37.002681 -0.00041439755 1.7698674e-17) (0.19969932 -6.3409389e-07 2.1634854e-20)) ((4.1439755e-06 0.37002681 3.8023519e-11) (6.3409389e-09 0.0019969932 -1.5888869e-08)))
0.0185	(((37.019693 -0.00041862871 1.7706988e-17) (0.19974883 -6.4450113e-07 2.1667238e-20)) ((4.1862871e-06 0.37019693 3.8537905e-11) (6.4450113e-09 0.0019974883 -1.6307336e-08)))
0.019	(((37.035885 -0.00042188847 1.7714175e-17) (0.19979445 -6.5185053e-07 2.169537e-20)) ((4.2188847e-06 0.37035885 3.8844915e-11) (6.5185053e-09 0.0019979445 -1.6557537e-08)))
0.0195	(((37.051502 -0.00042410662 1.7720458e-17) (0.19983688 -6.5903591e-07 2.1719879e-20)) ((4.2410662e-06 0.37051502 3.9141338e-11) (6.5903591e-09 0.0019983688 -1.6908075e-08)))
0.02	(((37.066763 -0.00042448212 1.7725991e-17) (0.19987672 -6.6512465e-07 2.1741329e-20)) ((4.2448212e-06 0.37066763 3.9342514e-11) (6.6512465e-09 0.0019987672 -1.7277988e-08)))
0.0205	(((37.081819 -0.00042339029 1.7730974e-17) (0.19991453 -6.6941845e-07 2.1760312e-20)) ((4.2339029e-06 0.37081819 3.9431893e-11) (6.6941845e-09 0.0019991453 -1.7629948e-08)))
0.021	(((37.096816 -0.00042092345 1.7735546e-17) (0.19995083 -6.7027421e-07 2.177732e-20)) ((4.2092345e-06 0.37096816 3.9335798e-11) (6.7027421e-09 0.0019995083 -1.7770868e-08)))
0.0215	(((37.111875 -0.00041790507 1.773983e-17) (0.19998604 -6.7003447e-07 2.1792787e-20)) ((4.1790507e-06 0.37111875 3.9223728e-11) (6.7003447e-09 0.0019998604 -1.7929986e-08)))
0.022	(((37.1271 -0.00041463631 1.7743955e-17) (0.20002057 -6.6860097e-07 2.1807094e-20)) ((4.1463631e-06 0.371271 3.9086488e-11) (6.6860097e-09 0.0020002057 -1.8049468e-08)))
0.0225	(((37.142613 -0.00041128688 1.7748e-17) (0.20005476 -6.6618019e-07 2.1820528e-20)) ((4.1128688e-06 0.37142613 3.8928137e-11) (6.6618019e-09 0.0020005476 -1.8108477e-08)))
0.023	(((37.158526 -0.00040886242 1.775206e-17) (0.20008894 -6.6299365e-07 2.1833348e-20)) ((4.0886242e-06 0.37158526 3.8758787e-11) (6.6299365e-09 0.0020008894 -1.8126281e-08)))
0.0235	(((37.174963 -0.00040648669 1.775622e-17) (0.20012342 -6.5821323e-07 2.1845759e-20)) ((4.0648669e-06 0.37174963 3.8542938e-11) (6.5821323e-09 0.0020012342 -1.7945441e-08)))
0.024	(((37.192074 -0.00040699333 1.7760535e-17) (0.2001585 -6.5469252e-07 2.1857917e-20)) ((4.0699333e-06 0.37192074 3.8442061e-11) (6.5469252e-09 0.002001585 -1.7799276e-08)))
0.0245	(((37.209992 -0.00040851336 1.7765149e-17) (0.20019451 -6.5303194e-07 2.187001e-20)) ((4.0851336e-06 0.37209992 3.8474766e-11) (6.5303194e-09 0.0020019451 -1.7611976e-08)))
0.025	(((37.228951 -0.00041339739 1.7770067e-17) (0.2002318 -6.5340965e-07 2.1882092e-20)) ((4.1339739e-06 0.37228951 3.8569818e-11) (6.5340965e-09 0.002002318 -1.7413238e-08)))
0.0255	(((37.249182 -0.00042102258 1.7775415e-17) (0.20027076 -6.5619794e-07 2.1894298e-20)) ((4.2102258e-06 0.37249182 3.8721395e-11) (6.5619794e-09 0.0020027076 -1.7162621e-08)))
0.026	(((37.270989 -0.00043177919 1.7781287e-17) (0.20031185 -6.6244336e-07 2.1906716e-20)) ((4.3177919e-06 0.37270989 3.8924449e-11) (6.6244336e-09 0.0020031185 -1.6911207e-08)))
0.0265	(((37.294767 -0.00044537691 1.7787805e-17) (0.20035564 -6.7191164e-07 2.1919436e-20)) ((4.4537691e-06 0.37294767 3.9091873e-11) (6.7191164e-09 0.0020035564 -1.6609173e-08)))
0.027	(((37.321033 -0.0004618282 1.7795138e-17) (0.20040284 -6.8475874e-07 2.1932583e-20)) ((4.618282e-06 0.37321033 3.9178698e-11) (6.8475874e-09 0.0020040284 -1.6264924e-08)))
0.0275	(((37.353587 -0.00048695664 1.7803387e-17) (0.20045551 -7.0611442e-07 2.1947331e-20)) ((4.8695664e-06 0.37353587 3.9138215e-11) (7.0611442e-09 0.0020045551 -1.6084127e-08)))
0.028	(((37.367321 -0.00048103385 1.7813793e-17) (0.20050631 -7.1466916e-07 2.1955668e-20)) ((4.8103385e-06 0.37367321 3.9001291e-11) (7.1466916e-09 0.0020050631 -1.5071381e-08)))
0.0285	(((37.372434 -0.0004939292 1.7823037e-17) (0.20054967 -7.1972326e-07 2.1951938e-20)) ((4.939292e-06 0.37372434 3.9162049e-11) (7.1972326e-09 0.0020054967 -1.4951864e-08)))
0.029	(((37.370192 -0.00048965756 1.7829912e-17) (0.20058328 -7.2119745e-07 2.1935306e-20)) ((4.8965756e-06 0.37370192 3.9144967e-11) (7.2119745e-09 0.0020058328 -1.4938893e-08)))
0.0295	(((37.36524 -0.00048398138 1.7834004e-17) (0.20060686 -7.1853778e-07 2.1908695e-20)) ((4.8398138e-06 0.3736524 3.9093421e-11) (7.1853778e-09 0.0020060686 -1.5325864e-08)))
0.03	(((37.364175 -0.00046962526 1.783564e-17) (0.20062329 -7.087808e-07 2.1878258e-20)) ((4.6962526e-06 0.37364175 3.8881874e-11) (7.087808e-09 0.0020062329 -1.5740425e-08)))
0.0305	(((37.366983 -0.00045672726 1.7835929e-17) (0.20063609 -6.9439344e-07 2.1849812e-20)) ((4.5672726e-06 0.37366983 3.8575655e-11) (6.9439344e-09 0.0020063609 -1.5783384e-08)))
0.031	(((37.372959 -0.00044402976 1.7835735e-17) (0.20064785 -6.7721796e-07 2.1827201e-20)) ((4.4402976e-06 0.37372959 3.8627735e-11) (6.7721796e-09 0.0020064785 -1.5325562e-08)))
0.0315	(((37.381065 -0.0004396284 1.7835609e-17) (0.20066019 -6.6020294e-07 2.1812418e-20)) ((4.396284e-06 0.37381065 3.9116294e-11) (6.6020294e-09 0.0020066019 -1.4859284e-08)))
0.032	(((37.390214 -0.00044593206 1.7835793e-17) (0.20067382 -6.5080577e-07 2.1805862e-20)) ((4.4593206e-06 0.37390214 4.0534763e-11) (6.5080577e-09 0.0020067382 -1.4254646e-08)))
0.0325	(((37.399486 -0.00046835199 1.7836282e-17) (0.20068873 -6.5473436e-07 2.1806778e-20)) ((4.6835199e-06 0.37399486 4.2837536e-11) (6.5473436e-09 0.0020068873 -1.3853603e-08)))
0.033	(((37.408096 -0.00050193635 1.7837136e-17) (0.20070445 -6.7498264e-07 2.181388e-20)) ((5.0193635e-06 0.37408096 4.6145667e-11) (6.7498264e-09 0.0020070445 -1.3966771e-08)))
0.0335	(((37.415619 -0.00054368193 1.7838026e-17) (0.20072032 -7.1309521e-07 2.18253e-20)) ((5.4368193e-06 0.37415619 5.0298014e-11) (7.1309521e-09 0.0020072032 -1.4556728e-08)))
