# Time	forces(pressure, viscous) moment(pressure, viscous)
0.0005	(((11.118024 0.038865374 0) (0.12430933 -5.0711208e-05 -7.9387763e-20)) ((-0.0019432687 0.55590119 1.3756517e-10) (2.5355604e-06 0.0062154666 1.969078e-05)))
0.001	(((0.14610758 -0.0044278843 0) (0.073961675 -6.2601202e-05 -7.0125853e-21)) ((0.00022139421 0.0073053791 -6.5735856e-12) (3.1300601e-06 0.0036980838 1.1883028e-05)))
0.0015	(((0.059292148 0.0012268418 0) (0.051489195 -4.495236e-05 -3.5289961e-21)) ((-6.1342092e-05 0.0029646074 -3.7871771e-12) (2.247618e-06 0.0025744598 8.1688373e-06)))
0.002	(((0.041116591 0.00063835545 0) (0.040268345 -3.5993436e-05 -2.4525545e-21)) ((-3.1917772e-05 0.0020558296 -1.9939033e-12) (1.7996718e-06 0.0020134172 6.1827478e-06)))
0.0025	(((0.034248974 0.00054800033 0) (0.033910975 -3.0170282e-05 -2.1025199e-21)) ((-2.7400016e-05 0.0017124487 -8.2896416e-13) (1.5085141e-06 0.0016955488 5.0135776e-06)))
0.003	(((0.030546357 0.00049851756 0) (0.029864184 -2.6021446e-05 -1.9706135e-21)) ((-2.4925878e-05 0.0015273178 -1.1804921e-13) (1.3010723e-06 0.0014932092 4.2608737e-06)))
0.0035	(((0.028157301 0.00046945304 0) (0.027033514 -2.2859712e-05 -1.909441e-21)) ((-2.3472652e-05 0.001407865 3.0743986e-13) (1.1429856e-06 0.0013516757 3.7368215e-06)))
0.004	(((0.026426112 0.00044657128 0) (0.024910841 -2.0346493e-05 -1.8739798e-21)) ((-2.2328564e-05 0.0013213056 5.6243135e-13) (1.0173246e-06 0.0012455421 3.3494254e-06)))
0.0045	(((0.025080296 0.00042619687 0) (0.023238716 -1.8292795e-05 -1.8489584e-21)) ((-2.1309843e-05 0.0012540148 7.1632387e-13) (9.1463974e-07 0.0011619358 3.0504797e-06)))
0.005	(((0.023987598 0.00040721431 0) (0.021874565 -1.6577616e-05 -1.8289078e-21)) ((-2.0360715e-05 0.0011993799 8.0965312e-13) (8.2888079e-07 0.0010937283 2.8107817e-06)))
0.0055	(((0.023074511 0.00038923736 0) (0.020732725 -1.5119029e-05 -1.8118663e-21)) ((-1.9461868e-05 0.0011537255 8.6618835e-13) (7.5595145e-07 0.0010366362 2.6137243e-06)))
0.006	(((0.022296217 0.00037225319 0) (0.019758072 -1.3861594e-05 -1.7969794e-21)) ((-1.8612659e-05 0.0011148109 8.9981776e-13) (6.930797e-07 0.00098790362 2.448445e-06)))
0.0065	(((0.021622628 0.00035626816 0) (0.018913156 -1.2765572e-05 -1.7838981e-21)) ((-1.7813408e-05 0.0010811314 9.1880901e-13) (6.3827858e-07 0.00094565778 2.307528e-06)))
0.007	(((0.021032762 0.00034127128 0) (0.018171422 -1.1801351e-05 -1.7723586e-21)) ((-1.7063564e-05 0.0010516381 9.2819614e-13) (5.9006754e-07 0.0009085711 2.1857291e-06)))
0.0075	(((0.020511218 0.0003272451 0) (0.017513406 -1.0946211e-05 -1.7621728e-21)) ((-1.6362255e-05 0.0010255609 9.3111216e-13) (5.4731055e-07 0.00087567031 2.0792327e-06)))
0.008	(((0.020046314 0.00031415004 0) (0.016924457 -1.0182158e-05 -1.7531697e-21)) ((-1.5707502e-05 0.0010023157 9.2950331e-13) (5.0910789e-07 0.00084622283 1.9854183e-06)))
0.0085	(((0.019629202 0.00030193506 0) (0.016393272 -9.4953967e-06 -1.7451819e-21)) ((-1.5096753e-05 0.00098146009 9.2456246e-13) (4.7476984e-07 0.0008196636 1.9017897e-06)))
0.009	(((0.019252706 0.00029053877 0) (0.015910997 -8.8745444e-06 -1.7380741e-21)) ((-1.4526939e-05 0.00096263529 9.1714915e-13) (4.4372722e-07 0.00079554985 1.8267036e-06)))
0.0095	(((0.018911196 0.00027991293 0) (0.015470571 -8.3103123e-06 -1.7317161e-21)) ((-1.3995647e-05 0.0009455598 9.0783002e-13) (4.1551562e-07 0.00077352853 1.7588498e-06)))
0.01	(((0.018599985 0.00027000092 0) (0.015066283 -7.7950769e-06 -1.7259973e-21)) ((-1.3500046e-05 0.00092999923 8.9700081e-13) (3.8975384e-07 0.00075331417 1.6971742e-06)))
0.0105	(((0.018315273 0.00026073285 0) (0.014693461 -7.3225822e-06 -1.7208257e-21)) ((-1.3036642e-05 0.00091576367 8.8494173e-13) (3.6612911e-07 0.00073467305 1.6408207e-06)))
