# Time	Cd	Cl	Cm
0.0005	5264.5848	-0.59068922	0
0.001	1994.3802	57.958455	0
0.0015	-223.21839	4.0729637	-0
0.002	-169.36087	-13.691802	0
0.0025	21.816693	-13.54495	0
0.003	187.17153	-12.500357	0
0.0035	274.05277	-9.9962036	0
0.004	306.86085	-8.6666908	0
0.0045	322.06914	-7.9932193	0
0.005	333.06585	-7.5603323	0
0.0055	342.12475	-6.9041912	0
0.006	350.80168	-5.9348234	0
0.0065	358.46184	-4.6322814	0
0.007	363.79297	-3.0974974	0
0.0075	366.10824	-1.4472417	0
0.008	365.66362	0.19276931	0
0.0085	362.88223	1.755562	0
0.009	358.64548	3.0685911	0
0.0095	353.87494	4.0684839	0
0.01	349.27665	4.6405648	0
0.0105	345.2056	4.7413541	0
0.011	341.95615	4.3885796	0
0.0115	339.58116	3.6499489	0
0.012	337.9729	2.621983	0
0.0125	336.95975	1.4165841	0
0.013	336.46178	0.2306207	0
0.0135	336.22022	-0.76739216	0
0.014	336.11584	-1.4477603	0
0.0145	336.06289	-1.7561486	0
0.015	336.01482	-1.6799559	0
0.0155	335.97146	-1.2608363	0
0.016	335.92877	-0.56577294	0
0.0165	335.89327	0.30015281	0
0.017	335.87542	1.2186618	0
0.0175	335.86302	2.0702881	0
0.018	335.84371	2.7425638	0
0.0185	335.81525	3.1495547	0
0.019	335.76974	3.2331291	0
0.0195	335.70399	2.9678464	0
0.02	335.61974	2.3624827	0
0.0205	335.5282	1.4569098	0
0.021	335.44005	0.31604394	0
0.0215	335.37246	-0.9753857	0
0.022	335.33616	-2.3202435	0
0.0225	335.34316	-3.6152321	0
0.023	335.39736	-4.762791	0
0.0235	335.49433	-5.6765088	0
0.024	335.60319	-6.289187	0
0.0245	335.6976	-6.553564	0
0.025	335.7687	-6.4528132	0
0.0255	335.80001	-5.9954691	0
0.026	335.79064	-5.217644	0
0.0265	335.75106	-4.1788269	0
0.027	335.6961	-2.9595323	0
0.0275	335.64152	-1.6532441	0
0.028	335.61017	-0.3607629	0
0.0285	335.61097	0.81768423	0
0.029	335.64669	1.7928952	0
0.0295	335.69843	2.4917978	0
0.03	335.74006	2.8633828	0
0.0305	335.76894	2.8816814	0
0.031	335.77209	2.5491527	0
0.0315	335.7436	1.8937038	0
0.032	335.68979	0.96811412	0
0.0325	335.62284	-0.15307931	0
0.033	335.56175	-1.3809561	0
0.0335	335.52164	-2.6195631	0
0.034	335.51868	-3.7672293	0
0.0345	335.55885	-4.7328249	0
0.035	335.62239	-5.4392566	0
0.0355	335.68452	-5.8288021	0
0.036	335.73589	-5.8677479	0
0.0365	335.7596	-5.5513607	0
0.037	335.7513	-4.9024988	0
0.0375	335.71765	-3.9693512	0
0.038	335.66812	-2.82469	0
0.0385	335.61684	-1.5578189	0
0.039	335.58658	-0.26768948	0
0.0395	335.58352	0.94108611	0
0.04	335.61398	1.9735278	0
0.0405	335.66598	2.7488793	0
0.041	335.70648	3.2067597	0
0.0415	335.73616	3.3115534	0
0.042	335.74154	3.056587	0
0.0425	335.71552	2.4624919	0
0.043	335.66243	1.5761689	0
0.0435	335.59339	0.46711174	0
0.044	335.527	-0.77810301	0
0.0445	335.47888	-2.0631177	0
0.045	335.46668	-3.2854206	0
0.0455	335.4974	-4.3506238	0
0.046	335.56652	-5.1760491	0
0.0465	335.64276	-5.697829	0
0.047	335.71012	-5.8758041	0
0.0475	335.75729	-5.6967511	0
0.048	335.77179	-5.1754765	0
0.0485	335.75596	-4.353497	0
0.049	335.71585	-3.2962893	0
0.0495	335.66497	-2.0878777	0
0.05	335.62434	-0.82334645	0
0.0505	335.60894	0.3945724	0
0.051	335.62277	1.4696605	0
0.0515	335.66844	2.3177751	0
0.052	335.70855	2.8728818	0
0.0525	335.74147	3.0928268	0
0.053	335.75481	2.9618507	0
0.0535	335.73966	2.4924247	0
0.054	335.69569	1.7217891	0
0.0545	335.6321	0.71115957	0
0.055	335.56446	-0.45934845	0
0.0555	335.5104	-1.6992577	0
0.056	335.4838	-2.9097925	0
0.0565	335.49895	-3.9960229	0
0.057	335.55535	-4.8729107	0
0.0575	335.62839	-5.4727424	0
0.058	335.69606	-5.749052	0
0.0585	335.74744	-5.6801356	0
0.059	335.77145	-5.2717341	0
0.0595	335.76436	-4.5565253	0
0.06	335.73076	-3.5911636	0
0.0605	335.68284	-2.4525098	0
0.061	335.63818	-1.2300797	0
0.0615	335.61507	-0.021250942	0
0.062	335.61914	1.0762994	0
0.0625	335.65677	1.9775385	0
0.063	335.69967	2.6118314	0
0.0635	335.73464	2.9307657	0
0.064	335.7545	2.9105093	0
0.0645	335.74866	2.5548318	0
0.065	335.71338	1.8925344	0
0.0655	335.65609	0.97594146	0
0.066	335.58887	-0.12185586	0
0.0665	335.53076	-1.3149423	0
0.067	335.49415	-2.5107432	0
0.0675	335.49674	-3.6134327	0
0.068	335.54045	-4.5368044	0
0.0685	335.61063	-5.2100651	0
0.069	335.67965	-5.580227	0
0.0695	335.73644	-5.6189874	0
0.07	335.76929	-5.3233227	0
0.0705	335.77195	-4.7170756	0
0.071	335.74631	-3.8480944	0
0.0715	335.70281	-2.7858593	0
0.072	335.65551	-1.6144812	0
0.0725	335.626	-0.42531593	0
0.073	335.6212	0.68418493	0
0.0735	335.64724	1.6275665	0
0.074	335.69186	2.3315854	0
0.0745	335.72637	2.7412229	0
0.075	335.75114	2.8260811	0
0.0755	335.75359	2.5810451	0
0.076	335.72746	2.0270141	0
0.0765	335.67736	1.2074431	0
0.077	335.61296	0.18794043	0
0.0775	335.55243	-0.95176173	0
0.078	335.5088	-2.122963	0
