# Time	forces(pressure, viscous) moment(pressure, viscous)
0.0005	(((13.764837 0.040955637 3.9171875e-18) (0 0 0)) ((-0.0020477818 0.68824187 1.9426739e-11) (0 0 0)))
0.001	(((0.080730708 -0.00057021864 -2.5680198e-19) (0 0 0)) ((2.8510932e-05 0.0040365354 3.4692782e-12) (0 0 0)))
0.0015	(((0.043722627 -0.000843729 -1.6467458e-19) (0 0 0)) ((4.218645e-05 0.0021861314 2.4075029e-12) (0 0 0)))
0.002	(((0.022484851 -0.00090738442 -1.2726602e-19) (0 0 0)) ((4.5369221e-05 0.0011242426 2.5158369e-12) (0 0 0)))
0.0025	(((-0.005170319 -0.00096274473 -1.0474868e-19) (0 0 0)) ((4.8137237e-05 -0.00025851595 2.4903892e-12) (0 0 0)))
0.003	(((0.014447567 -0.00089842266 -8.4148993e-20) (0 0 0)) ((4.4921133e-05 0.00072237833 2.5398603e-12) (0 0 0)))
0.0035	(((-0.026710449 -0.0010724248 -8.0608893e-20) (0 0 0)) ((5.3621238e-05 -0.0013355224 2.472118e-12) (0 0 0)))
0.004	(((0.017995444 -0.00079540277 -6.0597446e-20) (0 0 0)) ((3.9770139e-05 0.00089977218 2.3595472e-12) (0 0 0)))
0.0045	(((-0.031848353 -0.0010487942 -6.7960238e-20) (0 0 0)) ((5.2439712e-05 -0.0015924176 2.3851294e-12) (0 0 0)))
0.005	(((0.019250095 -0.00073573519 -4.895543e-20) (0 0 0)) ((3.6786759e-05 0.00096250473 2.2144465e-12) (0 0 0)))
0.0055	(((-0.033944363 -0.0010183606 -6.035629e-20) (0 0 0)) ((5.0918031e-05 -0.0016972182 2.2517011e-12) (0 0 0)))
0.006	(((0.021055866 -0.00068041494 -4.1737514e-20) (0 0 0)) ((3.4020747e-05 0.0010527933 2.0550071e-12) (0 0 0)))
0.0065	(((-0.034434069 -0.00099063969 -5.5419913e-20) (0 0 0)) ((4.9531984e-05 -0.0017217034 2.1043814e-12) (0 0 0)))
0.007	(((0.022647446 -0.00063658232 -3.7247997e-20) (0 0 0)) ((3.1829116e-05 0.0011323723 1.9064074e-12) (0 0 0)))
0.0075	(((-0.034441307 -0.00095072168 -5.1848436e-20) (0 0 0)) ((4.7536084e-05 -0.0017220654 1.9606173e-12) (0 0 0)))
0.008	(((0.02374144 -0.00059109497 -3.4852377e-20) (0 0 0)) ((2.9554749e-05 0.001187072 1.7841703e-12) (0 0 0)))
0.0085	(((-0.03355725 -0.0009090063 -4.9092067e-20) (0 0 0)) ((4.5450315e-05 -0.0016778625 1.8182483e-12) (0 0 0)))
0.009	(((0.024347631 -0.00055315969 -3.316202e-20) (0 0 0)) ((2.7657985e-05 0.0012173815 1.6619294e-12) (0 0 0)))
