# Time	forces(pressure, viscous) moment(pressure, viscous)
1.0005	(((81.100521 445.24766 7.9381522e-17) (6.0304323 -0.074159688 -3.4672862e-18)) ((-22.262383 4.055026 101.61271) (0.0037079844 0.30152161 0.29966504)))
1.001	(((78.959298 461.91671 6.5550918e-17) (5.994827 -0.023470646 -3.452973e-18)) ((-23.095835 3.9479649 110.6599) (0.0011735323 0.29974135 0.32012337)))
1.0015	(((77.254652 446.52168 5.7214954e-17) (6.0179727 -0.0011602567 -3.1782955e-18)) ((-22.326084 3.8627326 98.792018) (5.8012836e-05 0.30089863 0.32761134)))
1.002	(((81.16218 471.26583 5.5325358e-17) (6.0449708 -0.0025166627 -3.1632102e-18)) ((-23.563291 4.058109 114.50291) (0.00012583314 0.30224854 0.31862749)))
1.0025	(((79.810917 462.91069 5.0497264e-17) (6.0752765 0.012688179 -3.1957144e-18)) ((-23.145535 3.9905458 106.07153) (-0.00063440895 0.30376383 0.33029111)))
1.003	(((79.466354 465.9182 4.6510843e-17) (6.1032979 0.018222197 -3.121382e-18)) ((-23.29591 3.9733177 107.03494) (-0.00091110985 0.30516489 0.334836)))
1.0035	(((80.253845 472.47191 4.5200136e-17) (6.1267089 0.023863895 -3.1239556e-18)) ((-23.623595 4.0126923 110.09803) (-0.0011931947 0.30633545 0.34050134)))
1.004	(((81.257586 479.97302 4.4633201e-17) (6.1455839 0.026410319 -3.1208102e-18)) ((-23.998651 4.0628793 113.83774) (-0.001320516 0.30727919 0.34336351)))
1.0045	(((82.228735 488.20133 4.4393169e-17) (6.1590342 0.025006014 -3.1382768e-18)) ((-24.410067 4.1114367 117.93939) (-0.0012503007 0.30795171 0.34218816)))
1.005	(((83.033299 495.05795 4.4232858e-17) (6.1694412 0.022867078 -3.1581464e-18)) ((-24.752898 4.151665 121.03185) (-0.0011433539 0.30847206 0.34022839)))
1.0055	(((83.470741 500.10772 4.3728971e-17) (6.1787031 0.020479445 -3.1739058e-18)) ((-25.005386 4.1735371 122.92697) (-0.0010239723 0.30893516 0.33815046)))
1.006	(((83.243344 502.24663 4.2547277e-17) (6.1861745 0.018565655 -3.1814339e-18)) ((-25.112331 4.1621672 122.94884) (-0.00092828275 0.30930873 0.33663529)))
